TinyYOLO Per-Class Detection Report
======================================================================

 Class Name                        P        R       F1     AP50     GT
----------------------------------------------------------------------
     0 cls_0                  0.3056   0.0866   0.1350   0.2182    254
     1 cls_1                  0.0000   0.0000   0.0000   0.0000      6
     2 cls_2                  0.0000   0.0000   0.0000   0.0000     46
     3 cls_3                  0.0000   0.0000   0.0000   0.0000      5
     4 cls_4                  0.1875   0.5000   0.2727   0.2308      6
     5 cls_5                  0.0000   0.0000   0.0000   0.0000      7
     6 cls_6                  0.0000   0.0000   0.0000   0.0000      3
     7 cls_7                  0.0000   0.0000   0.0000   0.0000     12
     8 cls_8                  0.1429   0.1667   0.1538   0.1012      6
     9 cls_9                  0.0000   0.0000   0.0000   0.0000     14
    11 cls_11                 0.0000   0.0000   0.0000   0.0000      2
    13 cls_13                 1.0000   0.1111   0.2000   0.5550      9
    14 cls_14                 0.0000   0.0000   0.0000   0.0000     16
    15 cls_15                 0.5000   0.5000   0.5000   0.6213      4
    16 cls_16                 0.0000   0.0000   0.0000   0.0000      9
    17 cls_17                 0.0000   0.0000   0.0000   0.0000      2
    20 cls_20                 0.2857   0.1176   0.1667   0.2444     17
    21 cls_21                 0.0000   0.0000   0.0000   0.0000      1
    22 cls_22                 0.0000   0.0000   0.0000   0.0000      4
    23 cls_23                 0.0000   0.0000   0.0000   0.0000      9
    24 cls_24                 0.0000   0.0000   0.0000   0.0000      6
    25 cls_25                 0.0000   0.0000   0.0000   0.0000     18
    26 cls_26                 0.0000   0.0000   0.0000   0.0000     19
    27 cls_27                 0.0000   0.0000   0.0000   0.0000      7
    28 cls_28                 0.0000   0.0000   0.0000   0.0000      4
    29 cls_29                 0.0000   0.0000   0.0000   0.0000      5
    30 cls_30                 0.0000   0.0000   0.0000   0.0000      1
    31 cls_31                 0.0000   0.0000   0.0000   0.0000      7
    32 cls_32                 0.0000   0.0000   0.0000   0.0000      6
    33 cls_33                 0.0000   0.0000   0.0000   0.0000     10
    34 cls_34                 0.0000   0.0000   0.0000   0.0000      4
    35 cls_35                 0.0000   0.0000   0.0000   0.0000      7
    36 cls_36                 0.0000   0.0000   0.0000   0.0000      5
    38 cls_38                 0.0000   0.0000   0.0000   0.0000      7
    39 cls_39                 0.0000   0.0000   0.0000   0.0000     18
    40 cls_40                 0.0000   0.0000   0.0000   0.0000     16
    41 cls_41                 0.0083   0.0278   0.0127   0.0337     36
    42 cls_42                 0.0000   0.0000   0.0000   0.0000      6
    43 cls_43                 0.0000   0.0000   0.0000   0.0000     16
    44 cls_44                 0.0000   0.0000   0.0000   0.0000     22
    45 cls_45                 0.0320   0.1429   0.0523   0.0812     28
    46 cls_46                 0.0000   0.0000   0.0000   0.0000      1
    48 cls_48                 0.0000   0.0000   0.0000   0.0000      2
    49 cls_49                 0.0000   0.0000   0.0000   0.0000      4
    50 cls_50                 0.0000   0.0000   0.0000   0.0000     11
    51 cls_51                 0.2500   0.0417   0.0714   0.1673     24
    52 cls_52                 0.0000   0.0000   0.0000   0.0000      2
    53 cls_53                 0.0000   0.0000   0.0000   0.0000      5
    54 cls_54                 0.0000   0.0000   0.0000   0.0000     14
    55 cls_55                 0.0000   0.0000   0.0000   0.0000      4
    56 cls_56                 0.0000   0.0000   0.0000   0.0000     35
    57 cls_57                 0.0000   0.0000   0.0000   0.0000      6
    58 cls_58                 0.0625   0.0714   0.0667   0.1077     14
    59 cls_59                 0.0000   0.0000   0.0000   0.0000      3
    60 cls_60                 1.0000   0.0769   0.1429   0.5381     13
    61 cls_61                 0.0000   0.0000   0.0000   0.0000      2
    62 cls_62                 0.0000   0.0000   0.0000   0.0000      2
    63 cls_63                 0.0000   0.0000   0.0000   0.0000      3
    64 cls_64                 0.0000   0.0000   0.0000   0.0000      2
    65 cls_65                 0.0000   0.0000   0.0000   0.0000      8
    67 cls_67                 0.0000   0.0000   0.0000   0.0000      8
    68 cls_68                 0.0000   0.0000   0.0000   0.0000      3
    69 cls_69                 1.0000   0.2000   0.3333   0.5990      5
    71 cls_71                 0.0000   0.0000   0.0000   0.0000      6
    72 cls_72                 0.0000   0.0000   0.0000   0.0000      5
    73 cls_73                 0.0000   0.0000   0.0000   0.0000     29
    74 cls_74                 0.0000   0.0000   0.0000   0.0000      9
    75 cls_75                 0.0000   0.0000   0.0000   0.0000      2
    76 cls_76                 0.0000   0.0000   0.0000   0.0000      1
    77 cls_77                 0.2000   0.0952   0.1290   0.1533     21
    79 cls_79                 0.0000   0.0000   0.0000   0.0000      5
----------------------------------------------------------------------
MEAN                          0.0599   0.0452   0.0515   0.2809    929
