TinyYOLO Per-Class Detection Report
======================================================================

 Class Name                        P        R       F1     AP50     GT
----------------------------------------------------------------------
     0 cls_0                  0.0029   0.2632   0.0058   0.0059    285
     1 cls_1                  0.0000   0.0000   0.0000   0.0000    337
     2 cls_2                  0.0000   0.0000   0.0000   0.0000    459
     3 cls_3                  0.0000   0.0000   0.0000   0.0000    263
     4 cls_4                  0.0000   0.0000   0.0000   0.0000    469
     5 cls_5                  0.0000   0.0000   0.0000   0.0000    213
     6 cls_6                  0.0125   0.1790   0.0233   0.0023   1201
     7 cls_7                  0.0000   0.0000   0.0000   0.0000    358
     8 cls_8                  0.0004   0.0198   0.0007   0.0000    756
     9 cls_9                  0.0000   0.0000   0.0000   0.0000    244
    10 cls_10                 0.0000   0.0000   0.0000   0.0000    206
    11 cls_11                 0.0000   0.0000   0.0000   0.0000    489
    12 cls_12                 0.0000   0.0000   0.0000   0.0000    348
    13 cls_13                 0.0000   0.0000   0.0000   0.0000    325
    14 cls_14                 0.0042   0.5108   0.0082   0.0081   4528
    15 cls_15                 0.0000   0.0000   0.0000   0.0000    480
    16 cls_16                 0.0000   0.0000   0.0000   0.0000    242
    17 cls_17                 0.0000   0.0000   0.0000   0.0000    239
    18 cls_18                 0.2000   0.0035   0.0070   0.0050    282
    19 cls_19                 0.0000   0.0000   0.0000   0.0000    308
----------------------------------------------------------------------
MEAN                          0.0041   0.2177   0.0080   0.0011  12032
